insertion_3 lns without initial solution 
run 1 / 10 with seed = -1904485001:  	Time: 900.003 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 2 / 10 with seed = -1737648955:  	Time: 900.002 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 3 / 10 with seed =  -810588197:  	Time: 900.006 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 4 / 10 with seed = -1755204120:  	Time: 900.005 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 5 / 10 with seed =  -297573884:  	Time: 900.003 / 900.000 [s] 	#Solutions found: 0 	Unique solutions found: 0

run 6 / 10 with seed = -1004154478:  	Time: 900.087 / 900.000 [s] 	Best objective: 732.570 	#Solutions found: 134 	Unique solutions found: 134
	t = 305.142 [s] 	 obj = 984.874
	t = 305.365 [s] 	 obj = 980.522
	t = 305.804 [s] 	 obj = 979.800
	t = 305.857 [s] 	 obj = 977.572
	t = 306.019 [s] 	 obj = 975.970
	t = 306.505 [s] 	 obj = 975.835
	t = 306.567 [s] 	 obj = 974.629
	t = 306.727 [s] 	 obj = 969.157
	t = 306.782 [s] 	 obj = 966.534
	t = 306.994 [s] 	 obj = 965.874
	t = 307.329 [s] 	 obj = 964.201
	t = 307.384 [s] 	 obj = 964.178
	t = 307.762 [s] 	 obj = 961.367
	t = 308.213 [s] 	 obj = 961.023
	t = 308.295 [s] 	 obj = 955.414
	t = 308.782 [s] 	 obj = 955.216
	t = 308.871 [s] 	 obj = 952.784
	t = 309.626 [s] 	 obj = 933.093
	t = 310.932 [s] 	 obj = 932.997
	t = 311.192 [s] 	 obj = 928.985
	t = 311.358 [s] 	 obj = 928.517
	t = 311.780 [s] 	 obj = 922.534
	t = 312.219 [s] 	 obj = 921.212
	t = 312.413 [s] 	 obj = 916.132
	t = 312.496 [s] 	 obj = 915.163
	t = 313.680 [s] 	 obj = 915.084
	t = 313.767 [s] 	 obj = 913.364
	t = 313.942 [s] 	 obj = 912.473
	t = 314.027 [s] 	 obj = 912.283
	t = 314.621 [s] 	 obj = 911.381
	t = 315.038 [s] 	 obj = 903.998
	t = 315.206 [s] 	 obj = 903.590
	t = 315.559 [s] 	 obj = 903.495
	t = 316.523 [s] 	 obj = 902.157
	t = 316.863 [s] 	 obj = 897.833
	t = 317.125 [s] 	 obj = 893.549
	t = 317.803 [s] 	 obj = 881.865
	t = 318.448 [s] 	 obj = 880.932
	t = 318.786 [s] 	 obj = 880.580
	t = 319.243 [s] 	 obj = 879.468
	t = 319.337 [s] 	 obj = 879.150
	t = 319.879 [s] 	 obj = 878.327
	t = 320.450 [s] 	 obj = 878.011
	t = 324.316 [s] 	 obj = 876.941
	t = 325.022 [s] 	 obj = 876.825
	t = 325.201 [s] 	 obj = 875.818
	t = 325.480 [s] 	 obj = 875.480
	t = 326.181 [s] 	 obj = 873.100
	t = 326.469 [s] 	 obj = 871.560
	t = 326.640 [s] 	 obj = 871.507
	t = 327.795 [s] 	 obj = 868.265
	t = 327.972 [s] 	 obj = 866.196
	t = 328.061 [s] 	 obj = 862.600
	t = 328.355 [s] 	 obj = 862.004
	t = 329.480 [s] 	 obj = 861.489
	t = 330.798 [s] 	 obj = 860.283
	t = 331.083 [s] 	 obj = 860.073
	t = 332.529 [s] 	 obj = 859.168
	t = 336.220 [s] 	 obj = 858.830
	t = 338.167 [s] 	 obj = 858.702
	t = 338.884 [s] 	 obj = 858.324
	t = 349.736 [s] 	 obj = 858.121
	t = 352.076 [s] 	 obj = 857.795
	t = 353.253 [s] 	 obj = 855.497
	t = 353.438 [s] 	 obj = 855.290
	t = 354.490 [s] 	 obj = 855.162
	t = 356.073 [s] 	 obj = 849.167
	t = 363.257 [s] 	 obj = 848.653
	t = 364.671 [s] 	 obj = 848.539
	t = 365.412 [s] 	 obj = 847.634
	t = 365.596 [s] 	 obj = 846.086
	t = 366.450 [s] 	 obj = 845.615
	t = 385.897 [s] 	 obj = 844.117
	t = 385.989 [s] 	 obj = 843.658
	t = 388.069 [s] 	 obj = 843.226
	t = 388.371 [s] 	 obj = 843.087
	t = 420.828 [s] 	 obj = 826.124
	t = 426.910 [s] 	 obj = 826.044
	t = 487.685 [s] 	 obj = 824.254
	t = 488.224 [s] 	 obj = 823.230
	t = 488.314 [s] 	 obj = 820.141
	t = 494.151 [s] 	 obj = 820.114
	t = 564.405 [s] 	 obj = 819.765
	t = 565.781 [s] 	 obj = 815.103
	t = 566.688 [s] 	 obj = 814.995
	t = 568.457 [s] 	 obj = 813.768
	t = 570.041 [s] 	 obj = 813.615
	t = 629.497 [s] 	 obj = 812.636
	t = 629.776 [s] 	 obj = 806.506
	t = 629.866 [s] 	 obj = 805.141
	t = 645.730 [s] 	 obj = 804.789
	t = 646.193 [s] 	 obj = 802.437
	t = 646.557 [s] 	 obj = 802.426
	t = 702.466 [s] 	 obj = 802.177
	t = 702.783 [s] 	 obj = 802.147
	t = 703.392 [s] 	 obj = 802.129
	t = 703.684 [s] 	 obj = 800.149
	t = 704.348 [s] 	 obj = 794.602
	t = 704.543 [s] 	 obj = 794.347
	t = 706.050 [s] 	 obj = 791.851
	t = 709.509 [s] 	 obj = 791.108
	t = 711.506 [s] 	 obj = 790.391
	t = 751.164 [s] 	 obj = 787.930
	t = 751.475 [s] 	 obj = 784.183
	t = 755.085 [s] 	 obj = 784.183
	t = 755.174 [s] 	 obj = 783.418
	t = 755.355 [s] 	 obj = 783.400
	t = 755.543 [s] 	 obj = 782.874
	t = 755.727 [s] 	 obj = 781.389
	t = 762.295 [s] 	 obj = 776.636
	t = 762.760 [s] 	 obj = 773.968
	t = 762.860 [s] 	 obj = 773.435
	t = 762.951 [s] 	 obj = 773.007
	t = 763.134 [s] 	 obj = 772.774
	t = 763.331 [s] 	 obj = 771.400
	t = 763.971 [s] 	 obj = 769.967
	t = 778.520 [s] 	 obj = 769.819
	t = 780.187 [s] 	 obj = 767.863
	t = 782.566 [s] 	 obj = 767.844
	t = 782.748 [s] 	 obj = 763.365
	t = 866.751 [s] 	 obj = 762.985
